Department,SheetID
ATAL,1NGhXXnZiXvkLdVBe-FNE0TvcCAs9jpxJBjC-ucXOKTg
UIBM,1YQmKRvoXVfKvPnD--oA8zFRhrVoz8iDSD82l2x_g7fc
Hotel_Management,11TW5cV3mMxuRxUggZVbZW7N0H3DswDU_0SdyAnGMRAY
UIET,1W--5uz-npLqVHfWU7_C0APu6IY0EWfS4yxkuBd5gPtc
FINE ART,1feSM_JuPPLma5K1AcMukMJX5h2d9I6RlAj6uH0wMB1g
PHYSICAL EDU,1CCj6lm83YzE2EYgcEbzfoSsazdyiEP9QkMXq6nzhbmk
HEALTH SCIENCE,1OCmFRrhzj1yNIFjnbByuFLXcUSUEEqx7T--M0AFujkg
Pharmacy,1crFZTatzlnkeUMnsKlw1y5nKsYWFXLxkk1kjPgygJKc
Education,17dVxZLD3CxUur2oC2e-eGBdWup4fLldHM68lm6CQK0g
SCHOOL OF ADVANCE AGRICULTURE,1B28yaIzmCvxy5Er7LooWIrCwF9dbcigNzlg1zPGlbQs
Language,1fAbOleOE2Dy9Q8TazpokdNjpw_7TmAM4ro7Gj-6A3No
SLSBT,1_Ro50_iie4djJuECPfSdJSfbEsuLXTISP-ve5DG7wbU
school of art humanities,1CHPLqFEfmNZizpRMspHCjoBJuDeNm_CK-6Cb1_ZaYVQ
